Method	N	Positive_N	Negative_N	AUROC	AUPRC	Precision	Recall	F1	Threshold
SGMCI	218456	114838	103618	0.8418993606388692	0.8373555274069444	0.6269836847501449	0.979823751719814	0.7646635089126136	0.5
Clique density	218456	114838	103618	0.8092219156942336	0.7826295806127054	0.9916413373860182	0.011363834270885944	0.022470168913683558	1.0
Complete Hi-C clique	218456	114838	103618	0.5056288375546751	0.5309753333307488	0.9916413373860182	0.011363834270885944	0.022470168913683558	0.5
Mean relative contact	218456	114838	103618	0.9170917871514495	0.8851758225661014	0.8922787010413114	0.4782911579790662	0.6227614161399132	1.0
Minimum relative contact	218456	114838	103618	0.8470746676237546	0.8564974510349215	0.9916413373860182	0.011363834270885944	0.022470168913683558	1.0
Geometric mean relative contact	218456	114838	103618	0.9248536550000004	0.9043012370896855	0.9501563477173234	0.13229941308626064	0.23225914941755588	1.0
