SGMCI_score_decile	0	1	2	3
D1	0.905144694533762	0.09435002296738632	0.00036747818098300416	0.00013780431786862655
D2	0.6435002296738631	0.35245751033532385	0.003123564538355535	0.0009186954524575103
D3	0.43651814423518603	0.5522737712448323	0.008268259072117593	0.0029398254478640333
D4	0.3263206247129077	0.6468534680753331	0.018465778594395958	0.008360128617363344
D5	0.2593477262287552	0.6864951768488746	0.037115296279283415	0.017041800643086816
D6	0.19559026182820394	0.7192466697289849	0.05282498851630684	0.032338079926504365
D7	0.1378961874138723	0.736150666054203	0.07478180983004135	0.05117133670188333
D8	0.08557648139641709	0.7220946256316031	0.10390445567294442	0.08842443729903537
D9	0.045980707395498394	0.6373909049150207	0.1489664676159853	0.16766192007349565
D10	0.01947634359209922	0.454248966467616	0.19627928341754708	0.32999540652273773
