bootstrap_id	Method	Metric	Value
11	Complete Hi-C clique	Precision	0.9852670349907919
11	Complete Hi-C clique	Recall	0.1304446263431965
11	Complete Hi-C clique	F1	0.23038710570431095
12	SGMCI	AUROC	0.841678628565992
12	SGMCI	AUPRC	0.8377879456197764
12	SGMCI	Precision	0.6292824605190996
12	SGMCI	Recall	0.9791967815531444
12	SGMCI	F1	0.7661788152569395
12	Complete Hi-C clique	AUROC	0.5639344157468347
12	Complete Hi-C clique	AUPRC	0.5870727574822794
12	Complete Hi-C clique	Precision	0.9859266600594648
12	Complete Hi-C clique	Recall	0.12993956704226825
12	Complete Hi-C clique	F1	0.22961692043732163
13	SGMCI	AUROC	0.8427719671297407
13	SGMCI	AUPRC	0.8389998232590176
13	SGMCI	Precision	0.6288154242276995
13	SGMCI	Recall	0.9803810585346314
13	SGMCI	F1	0.7661944800786714
13	Complete Hi-C clique	AUROC	0.5652889138268967
13	Complete Hi-C clique	AUPRC	0.5884221895652754
13	Complete Hi-C clique	Precision	0.9873442367601246
13	Complete Hi-C clique	Recall	0.1324735714658911
13	Complete Hi-C clique	F1	0.2336041030050827
14	SGMCI	AUROC	0.8417518244570058
14	SGMCI	AUPRC	0.8376496014147927
14	SGMCI	Precision	0.6291914979259143
14	SGMCI	Recall	0.980041449694352
14	SGMCI	F1	0.7663697771967097
14	Complete Hi-C clique	AUROC	0.5644161844840728
14	Complete Hi-C clique	AUPRC	0.5875162146365033
14	Complete Hi-C clique	Precision	0.985837922895358
14	Complete Hi-C clique	Recall	0.1309322698061617
14	Complete Hi-C clique	F1	0.231163040971635
15	SGMCI	AUROC	0.842709774994935
15	SGMCI	AUPRC	0.8387992654603069
15	SGMCI	Precision	0.6292987291807605
15	SGMCI	Recall	0.9801372368031488
15	SGMCI	F1	0.7664786056472783
15	Complete Hi-C clique	AUROC	0.5641558705151414
15	Complete Hi-C clique	AUPRC	0.5873440614160796
15	Complete Hi-C clique	Precision	0.9869984160506864
15	Complete Hi-C clique	Recall	0.13022692836865846
15	Complete Hi-C clique	F1	0.2300946226632818
16	SGMCI	AUROC	0.8422901445087511
16	SGMCI	AUPRC	0.8387656277858017
16	SGMCI	Precision	0.6293819304259328
16	SGMCI	Recall	0.9801024051272227
16	SGMCI	F1	0.7665296643499995
16	Complete Hi-C clique	AUROC	0.5647660220095698
16	Complete Hi-C clique	AUPRC	0.5878582905419314
16	Complete Hi-C clique	Precision	0.9861020488059506
16	Complete Hi-C clique	Recall	0.13160277956773891
16	Complete Hi-C clique	F1	0.23221474447619933
17	SGMCI	AUROC	0.8419923666447563
17	SGMCI	AUPRC	0.8384896442179953
17	SGMCI	Precision	0.629103706393319
17	SGMCI	Recall	0.9806771277800032
17	SGMCI	F1	0.7664988957063567
17	Complete Hi-C clique	AUROC	0.563862544219381
17	Complete Hi-C clique	AUPRC	0.5871215401969854
17	Complete Hi-C clique	Precision	0.9878445699103288
17	Complete Hi-C clique	Recall	0.12950417109319215
17	Complete Hi-C clique	F1	0.22898847512952966
18	SGMCI	AUROC	0.8425986895145235
18	SGMCI	AUPRC	0.8387189902271193
18	SGMCI	Precision	0.6297753280546151
18	SGMCI	Recall	0.980024033856389
18	SGMCI	F1	0.7667973686989641
18	Complete Hi-C clique	AUROC	0.5646346879635507
18	Complete Hi-C clique	AUPRC	0.5876955308242009
18	Complete Hi-C clique	Precision	0.9854410132532481
18	Complete Hi-C clique	Recall	0.13143732910709
18	Complete Hi-C clique	F1	0.23193884214974453
19	SGMCI	AUROC	0.8417370336000642
19	SGMCI	AUPRC	0.8375485250389437
19	SGMCI	Precision	0.6294069616571966
19	SGMCI	Recall	0.9800153259374075
19	SGMCI	F1	0.7665215940281835
19	Complete Hi-C clique	AUROC	0.5636700464012733
19	Complete Hi-C clique	AUPRC	0.5868656948971351
19	Complete Hi-C clique	Precision	0.9865789648528337
19	Complete Hi-C clique	Recall	0.12930388895661715
19	Complete Hi-C clique	F1	0.2286413784077174
20	SGMCI	AUROC	0.843943995737718
20	SGMCI	AUPRC	0.8403565670057171
20	SGMCI	Precision	0.6295169095639039
20	SGMCI	Recall	0.9798411675577771
20	SGMCI	F1	0.7665498342887702
20	Complete Hi-C clique	AUROC	0.5646455416664216
20	Complete Hi-C clique	AUPRC	0.5878222103266438
20	Complete Hi-C clique	Precision	0.987349239643419
20	Complete Hi-C clique	Recall	0.13116738361866281
