schic_support	count	perc	prob_group
0	4297877	0.9608316864442398	00_01
1	175203	0.03916831355576024	00_01
0	214142	0.9213578865846312	01_02
1	18278	0.07864211341536873	01_02
0	99799	0.9126065327919821	02_03
1	9557	0.08739346720801786	02_03
0	61199	0.9056723839403312	03_04
1	6374	0.0943276160596688	03_04
0	41573	0.8994201895201419	04_05
1	4649	0.10057981047985808	04_05
0	31131	0.8927219545767378	05_06
1	3741	0.10727804542326222	05_06
0	24852	0.8851688274683003	06_07
1	3224	0.11483117253169967	06_07
0	20405	0.875225186583169	07_08
1	2909	0.12477481341683108	07_08
0	17036	0.8566400160909137	08_09
1	2851	0.14335998390908633	08_09
0	13427	0.7938863596050375	09_10
1	3486	0.20611364039496247	09_10
